data,cliente_id,produto,categoria,estado,quantidade,preco,faturamento
2025-12-03,3114,Celular,Eletrônicos,MG,3,1771.73,5315.1900000000005
2023-07-24,4644,Notebook,Eletrônicos,RJ,1,2449.29,2449.29
2025-12-02,3422,Teclado,Eletrônicos,RS,3,767.22,2301.66
2024-08-17,1463,Fone,Eletrônicos,MG,1,4129.54,4129.54
2024-04-27,1740,Mesa,Casa,RJ,2,573.93,1147.86
2024-04-22,3576,Mouse,Eletrônicos,SC,1,1367.07,1367.07
2023-04-20,2485,Fone,Eletrônicos,BA,5,1768.33,8841.65
2023-12-07,3187,Mouse,Eletrônicos,MG,4,2357.89,9431.56
2023-05-04,2246,Teclado,Eletrônicos,MG,4,1747.91,6991.64
2024-05-26,1819,Cadeira,Casa,RS,1,4191.4,4191.4
2024-10-16,1889,Teclado,Eletrônicos,BA,1,2145.15,2145.15
2024-01-27,4835,Teclado,Eletrônicos,RS,1,1337.88,1337.88
2023-08-22,1388,Mouse,Eletrônicos,BA,2,998.7,1997.4
2024-04-17,1942,Notebook,Eletrônicos,BA,4,1090.78,4363.12
2024-02-26,3387,Mesa,Casa,MG,1,4517.51,4517.51
2025-01-25,2468,Mesa,Casa,MG,5,3994.83,19974.15
2023-01-30,1540,Fone,Eletrônicos,MG,3,4930.69,14792.07
2025-11-09,2451,Notebook,Eletrônicos,RS,2,1972.5,3945.0
2024-09-03,2399,Mesa,Casa,MG,1,3636.44,3636.44
2025-09-04,1390,Mesa,Casa,SP,4,3810.68,15242.72
2025-08-14,4928,Monitor,Eletrônicos,RS,4,3641.22,14564.88
2025-10-27,3812,Cadeira,Casa,BA,5,3570.86,17854.3
2023-06-12,2248,Notebook,Eletrônicos,RS,4,1194.72,4778.88
2025-10-09,1565,Celular,Eletrônicos,RJ,1,2865.47,2865.47
2025-02-03,2348,Mesa,Casa,SC,1,1409.53,1409.53
2025-07-18,4715,Notebook,Eletrônicos,SC,3,3841.73,11525.19
2025-10-06,2707,Teclado,Eletrônicos,MG,4,851.02,3404.08
2024-06-23,1999,Teclado,Eletrônicos,BA,2,3407.38,6814.76
2023-01-30,2565,Celular,Eletrônicos,BA,5,129.12,645.6
2025-11-26,4504,Fone,Eletrônicos,SC,5,4705.25,23526.25
2023-06-12,1923,Cadeira,Casa,BA,4,302.13,1208.52
2023-12-02,1054,Fone,Eletrônicos,BA,4,2144.51,8578.04
2023-08-24,1957,Cadeira,Casa,SC,3,4616.19,13848.57
2023-03-13,4672,Notebook,Eletrônicos,MG,4,3962.35,15849.4
2025-06-23,1488,Notebook,Eletrônicos,RJ,3,4959.69,14879.07
2025-01-09,4579,Mouse,Eletrônicos,RJ,5,993.6,4968.0
2025-01-21,2689,Teclado,Eletrônicos,PR,5,1464.7,7323.5
2025-07-30,2168,Celular,Eletrônicos,SP,5,1907.46,9537.3
2024-02-10,2013,Mesa,Casa,SP,3,953.27,2859.81
2025-01-03,1532,Mesa,Casa,PR,2,2753.82,5507.64
2025-03-06,2837,Celular,Eletrônicos,RJ,2,360.29,720.58
2023-01-10,2789,Teclado,Eletrônicos,RS,4,219.71,878.84
2024-09-17,4974,Notebook,Eletrônicos,SC,1,3349.93,3349.93
2024-10-15,4935,Celular,Eletrônicos,RJ,5,2877.06,14385.3
2025-02-06,3523,Fone,Eletrônicos,BA,4,3993.78,15975.12
2024-02-03,4922,Monitor,Eletrônicos,SC,3,3108.34,9325.02
2023-12-26,3013,Cadeira,Casa,SP,2,1736.61,3473.22
2024-11-25,4022,Mouse,Eletrônicos,SP,4,4906.77,19627.08
2023-08-14,4613,Fone,Eletrônicos,SP,3,1813.48,5440.4400000000005
2025-07-25,1624,Notebook,Eletrônicos,BA,4,1124.47,4497.88
2024-09-14,4998,Cadeira,Casa,BA,2,3605.48,7210.96
2025-12-10,1045,Mouse,Eletrônicos,SP,1,2185.12,2185.12
2024-12-27,3812,Mesa,Casa,PR,1,1228.14,1228.14
2024-02-01,2532,Cadeira,Casa,SC,1,3848.93,3848.93
2025-04-09,3001,Mesa,Casa,SC,1,1437.99,1437.99
2024-05-11,4526,Mouse,Eletrônicos,SP,5,3679.05,18395.25
2023-11-21,4581,Cadeira,Casa,RS,4,2045.59,8182.36
2025-04-06,1560,Notebook,Eletrônicos,MG,2,4890.26,9780.52
2023-08-02,3115,Celular,Eletrônicos,SP,3,2381.47,7144.41
2023-03-16,3326,Mouse,Eletrônicos,PR,2,3536.38,7072.76
2024-03-09,4821,Mesa,Casa,BA,4,2653.32,10613.28
2025-03-31,4265,Mesa,Casa,BA,5,2130.28,10651.400000000001
2023-09-02,1172,Teclado,Eletrônicos,PR,1,921.56,921.56
2024-09-22,3126,Mesa,Casa,BA,5,2920.65,14603.25
2025-02-16,2852,Mouse,Eletrônicos,SC,1,4549.94,4549.94
2023-09-10,4350,Mesa,Casa,MG,5,3323.79,16618.95
2025-12-25,4802,Mesa,Casa,SP,4,2759.79,11039.16
2024-08-15,1700,Celular,Eletrônicos,MG,3,1088.94,3266.82
2023-03-27,4177,Cadeira,Casa,RS,3,3170.36,9511.08
2024-04-07,3138,Mesa,Casa,BA,1,4511.84,4511.84
2024-08-16,4609,Monitor,Eletrônicos,SP,2,3417.07,6834.14
2024-08-22,1702,Notebook,Eletrônicos,RS,3,3110.24,9330.72
2025-01-03,3430,Monitor,Eletrônicos,PR,1,1698.8,1698.8
2025-06-29,2170,Teclado,Eletrônicos,SC,1,3781.56,3781.56
2025-10-14,1272,Notebook,Eletrônicos,MG,5,3600.6,18003.0
2024-08-10,2302,Fone,Eletrônicos,RJ,2,4544.1,9088.2
2025-08-15,3597,Mesa,Casa,BA,2,3749.62,7499.24
2023-03-30,4935,Mouse,Eletrônicos,SC,5,928.53,4642.65
2024-12-07,4146,Monitor,Eletrônicos,SC,5,2028.47,10142.35
2023-09-03,1270,Teclado,Eletrônicos,BA,5,4749.54,23747.7
2024-04-19,4135,Mouse,Eletrônicos,SC,2,3009.74,6019.48
2023-04-19,3836,Mesa,Casa,RS,4,217.63,870.52
2024-08-29,1964,Teclado,Eletrônicos,MG,5,2624.67,13123.35
2025-03-28,2236,Teclado,Eletrônicos,SC,4,4947.59,19790.36
2023-09-25,1429,Celular,Eletrônicos,SP,3,1760.81,5282.43
2023-09-06,4027,Celular,Eletrônicos,PR,2,1005.42,2010.84
2023-12-15,1477,Mesa,Casa,SC,4,2696.76,10787.04
2023-01-01,1305,Celular,Eletrônicos,BA,5,2981.78,14908.900000000001
2023-02-16,4567,Cadeira,Casa,MG,4,2853.62,11414.48
2025-02-18,2478,Celular,Eletrônicos,RJ,3,1655.45,4966.35
2023-11-18,3125,Notebook,Eletrônicos,BA,5,1511.32,7556.599999999999
2023-07-26,1548,Teclado,Eletrônicos,PR,1,1305.02,1305.02
2024-03-10,4349,Teclado,Eletrônicos,BA,4,3110.92,12443.68
2023-06-05,3782,Notebook,Eletrônicos,RJ,1,1359.4,1359.4
2024-04-09,1929,Celular,Eletrônicos,SC,4,4225.28,16901.12
2023-06-28,1111,Mesa,Casa,RS,5,3799.71,18998.55
2024-09-07,2709,Celular,Eletrônicos,SP,4,2087.42,8349.68
2025-09-10,1968,Teclado,Eletrônicos,PR,2,1029.22,2058.44
2023-12-15,3750,Fone,Eletrônicos,MG,2,1725.2,3450.4
2023-03-26,2629,Fone,Eletrônicos,SP,5,1924.32,9621.6
2025-04-28,1762,Mouse,Eletrônicos,RJ,1,4968.43,4968.43
2024-06-12,2521,Monitor,Eletrônicos,BA,2,4884.32,9768.64
2024-09-08,2331,Fone,Eletrônicos,PR,5,3311.71,16558.55
2023-01-24,3240,Celular,Eletrônicos,MG,3,2303.29,6909.87
2024-08-30,3240,Cadeira,Casa,MG,4,4802.93,19211.72
2023-03-22,1114,Mesa,Casa,BA,2,1772.17,3544.34
2024-06-12,3031,Fone,Eletrônicos,PR,1,3136.93,3136.93
2023-07-14,4148,Mouse,Eletrônicos,PR,3,4791.05,14373.150000000001
2023-08-24,3189,Mesa,Casa,MG,4,3567.33,14269.32
2024-01-14,4248,Teclado,Eletrônicos,RS,3,2461.0,7383.0
2023-06-21,2699,Mouse,Eletrônicos,BA,1,4035.67,4035.67
2023-03-05,2397,Mesa,Casa,MG,4,3541.31,14165.24
2025-01-18,4060,Teclado,Eletrônicos,SP,3,218.63,655.89
2025-05-08,2908,Mesa,Casa,RS,4,621.45,2485.8
2023-03-17,1895,Fone,Eletrônicos,SC,3,2234.8,6704.400000000001
2023-02-18,4670,Notebook,Eletrônicos,MG,4,4454.91,17819.64
2024-03-07,1296,Celular,Eletrônicos,SP,5,1392.68,6963.400000000001
2023-07-02,1000,Teclado,Eletrônicos,SP,4,4326.0,17304.0
2025-02-02,4862,Mouse,Eletrônicos,MG,3,1300.98,3902.94
2025-10-18,2369,Fone,Eletrônicos,SP,5,4319.34,21596.7
2024-12-27,2406,Mouse,Eletrônicos,MG,2,2236.53,4473.06
2024-07-29,3343,Mouse,Eletrônicos,MG,2,3942.05,7884.1
2024-11-19,4047,Mouse,Eletrônicos,BA,1,4719.64,4719.64
2025-04-06,1525,Monitor,Eletrônicos,RJ,4,1752.1,7008.4
2025-02-13,3254,Cadeira,Casa,SP,4,2360.53,9442.12
2023-05-16,3731,Teclado,Eletrônicos,RJ,1,4761.6,4761.6
2025-06-16,4771,Mouse,Eletrônicos,BA,1,3064.75,3064.75
2025-09-02,3882,Cadeira,Casa,BA,5,4587.05,22935.25
2025-11-07,3273,Cadeira,Casa,MG,5,4431.32,22156.6
2024-01-17,3286,Notebook,Eletrônicos,BA,4,3657.38,14629.52
2024-12-20,3587,Mouse,Eletrônicos,RJ,2,4176.9,8353.8
2024-01-06,4487,Notebook,Eletrônicos,PR,1,4615.56,4615.56
2025-11-18,2586,Celular,Eletrônicos,SP,3,4721.84,14165.52
2025-04-05,2432,Fone,Eletrônicos,PR,3,4207.26,12621.78
2024-04-01,3859,Fone,Eletrônicos,RJ,5,4099.89,20499.45
2023-05-20,1045,Notebook,Eletrônicos,MG,3,2832.67,8498.01
2023-06-25,4217,Cadeira,Casa,BA,4,4202.88,16811.52
2025-05-14,2346,Notebook,Eletrônicos,PR,3,3260.61,9781.83
2024-10-19,3428,Monitor,Eletrônicos,BA,1,3709.64,3709.64
2023-05-01,1894,Monitor,Eletrônicos,BA,5,1060.16,5300.8
2023-02-28,1557,Mesa,Casa,RJ,4,3468.66,13874.64
2023-05-21,4668,Teclado,Eletrônicos,SP,4,1889.38,7557.52
2023-12-22,3793,Cadeira,Casa,BA,3,4326.25,12978.75
2024-07-03,4657,Monitor,Eletrônicos,SC,2,1193.25,2386.5
2024-07-22,3068,Teclado,Eletrônicos,BA,2,2745.51,5491.02
2023-03-04,4608,Mesa,Casa,BA,5,595.03,2975.1499999999996
2023-02-27,1000,Notebook,Eletrônicos,RJ,1,1324.22,1324.22
2024-05-01,1017,Monitor,Eletrônicos,RS,2,3914.18,7828.36
2025-02-03,2994,Mesa,Casa,MG,3,3064.3,9192.900000000001
2024-08-23,3819,Monitor,Eletrônicos,MG,2,2197.27,4394.54
2023-07-18,4511,Teclado,Eletrônicos,RJ,5,4078.04,20390.2
2025-05-07,4774,Mesa,Casa,PR,4,3961.52,15846.08
2024-01-16,2081,Monitor,Eletrônicos,SP,2,3171.08,6342.16
2023-06-01,2246,Celular,Eletrônicos,RS,5,2278.78,11393.900000000001
2025-06-11,2862,Teclado,Eletrônicos,BA,1,3911.84,3911.84
2023-11-27,4944,Notebook,Eletrônicos,SC,1,3254.98,3254.98
2023-01-31,4271,Notebook,Eletrônicos,PR,2,1480.97,2961.94
2025-05-21,1025,Monitor,Eletrônicos,BA,1,676.1,676.1
2023-08-10,4690,Teclado,Eletrônicos,RS,1,665.82,665.82
2025-02-02,3618,Notebook,Eletrônicos,PR,2,1125.4,2250.8
2023-06-07,4246,Cadeira,Casa,SP,4,4379.67,17518.68
2024-11-21,3993,Notebook,Eletrônicos,BA,2,1044.42,2088.84
2023-12-03,4502,Mesa,Casa,PR,5,2293.26,11466.300000000001
2023-07-21,2363,Cadeira,Casa,PR,4,2623.2,10492.8
2025-07-28,1504,Notebook,Eletrônicos,MG,3,4550.94,13652.82
2023-06-14,2099,Cadeira,Casa,SP,1,2518.01,2518.01
2025-04-01,3355,Notebook,Eletrônicos,MG,3,2776.48,8329.44
2024-01-20,1399,Celular,Eletrônicos,MG,5,4380.76,21903.800000000003
2023-07-07,1232,Cadeira,Casa,RS,4,3243.2,12972.8
2023-11-21,2128,Mesa,Casa,SP,1,4336.25,4336.25
2025-12-20,4073,Notebook,Eletrônicos,RJ,3,4934.92,14804.76
2025-09-24,4065,Mouse,Eletrônicos,RS,3,1045.73,3137.19
2025-08-23,3804,Mouse,Eletrônicos,SC,3,2346.73,7040.1900000000005
2023-10-11,2124,Cadeira,Casa,BA,3,2101.2,6303.599999999999
2025-06-26,4357,Fone,Eletrônicos,RS,1,1456.72,1456.72
2024-12-19,2484,Notebook,Eletrônicos,PR,3,4984.95,14954.849999999999
2023-11-30,2226,Mesa,Casa,RS,4,2389.45,9557.8
2023-12-07,3446,Notebook,Eletrônicos,BA,2,155.82,311.64
2024-12-08,1569,Fone,Eletrônicos,RS,4,869.28,3477.12
2024-02-18,3188,Mouse,Eletrônicos,SP,3,1641.41,4924.2300000000005
2024-05-18,1499,Celular,Eletrônicos,RS,3,2068.94,6206.82
2023-03-06,1992,Mouse,Eletrônicos,RS,2,3138.92,6277.84
2023-01-27,2876,Notebook,Eletrônicos,RJ,4,3201.68,12806.72
2023-06-24,1241,Cadeira,Casa,PR,4,2820.21,11280.84
2025-01-20,3684,Cadeira,Casa,SC,5,1075.28,5376.4
2024-07-08,1013,Celular,Eletrônicos,SC,4,3388.88,13555.52
2025-12-20,3755,Monitor,Eletrônicos,MG,4,2555.11,10220.44
2024-06-12,3872,Notebook,Eletrônicos,RJ,4,110.55,442.2
2024-10-07,2020,Fone,Eletrônicos,RJ,3,2337.54,7012.62
2024-06-02,2606,Monitor,Eletrônicos,SC,2,4072.12,8144.24
2024-09-08,3178,Cadeira,Casa,BA,3,4624.36,13873.079999999998
2024-06-24,4884,Notebook,Eletrônicos,MG,5,3107.37,15536.849999999999
2025-02-19,3770,Mesa,Casa,BA,4,2177.47,8709.88
2023-07-08,1321,Notebook,Eletrônicos,SP,3,2047.18,6141.54
2023-01-12,1219,Teclado,Eletrônicos,RJ,1,2992.63,2992.63
2025-01-05,2051,Cadeira,Casa,SP,3,1508.75,4526.25
2024-10-30,2304,Mouse,Eletrônicos,RS,3,3295.17,9885.51
2024-01-11,4089,Teclado,Eletrônicos,RJ,5,263.04,1315.2
2025-05-19,1275,Mesa,Casa,MG,4,2572.76,10291.04
2023-08-03,1489,Celular,Eletrônicos,SP,5,4132.56,20662.800000000003
2023-02-19,2906,Notebook,Eletrônicos,BA,1,3827.2,3827.2
2023-01-22,2177,Fone,Eletrônicos,MG,1,4990.85,4990.85
2024-02-09,3211,Mesa,Casa,PR,5,445.66,2228.3
2024-11-09,1774,Teclado,Eletrônicos,SP,3,898.51,2695.5299999999997
2024-06-20,3015,Mouse,Eletrônicos,MG,4,3171.21,12684.84
2025-11-13,3799,Monitor,Eletrônicos,PR,4,3026.98,12107.92
2025-10-15,1540,Celular,Eletrônicos,MG,1,571.4,571.4
2023-12-13,4552,Mesa,Casa,RS,5,1967.84,9839.199999999999
2024-12-28,1318,Mesa,Casa,MG,2,4196.23,8392.46
2024-03-07,1086,Teclado,Eletrônicos,PR,5,424.12,2120.6
2025-05-26,4622,Notebook,Eletrônicos,SC,2,4665.61,9331.22
2023-08-25,1274,Mouse,Eletrônicos,SP,5,3337.24,16686.199999999997
2024-01-06,2190,Fone,Eletrônicos,RJ,4,1829.55,7318.2
2025-02-05,4000,Cadeira,Casa,RJ,5,3867.24,19336.199999999997
2025-04-16,4163,Mesa,Casa,RJ,2,3394.18,6788.36
2023-05-10,4829,Monitor,Eletrônicos,RS,1,2466.26,2466.26
2023-04-02,1328,Notebook,Eletrônicos,RS,2,115.17,230.34
2023-10-01,3171,Teclado,Eletrônicos,BA,5,867.18,4335.9
2023-07-19,4576,Mesa,Casa,SP,2,4719.35,9438.7
2023-09-16,2548,Mesa,Casa,PR,5,3703.9,18519.5
2024-06-14,4296,Notebook,Eletrônicos,SP,3,2511.12,7533.36
2025-03-20,3693,Cadeira,Casa,PR,3,364.91,1094.73
2024-05-06,3583,Mesa,Casa,SP,1,2322.05,2322.05
2024-09-12,2710,Fone,Eletrônicos,RS,3,2860.63,8581.89
2025-03-29,2817,Mouse,Eletrônicos,SP,5,3498.94,17494.7
2023-09-25,4318,Notebook,Eletrônicos,BA,1,4762.27,4762.27
2025-02-22,1104,Teclado,Eletrônicos,RJ,1,4867.66,4867.66
2025-05-16,4953,Fone,Eletrônicos,SP,1,1105.25,1105.25
2025-04-14,2372,Celular,Eletrônicos,BA,2,3533.6,7067.2
2025-12-09,2938,Monitor,Eletrônicos,SC,2,613.1,1226.2
2025-10-29,1027,Celular,Eletrônicos,SP,5,138.58,692.9000000000001
2025-05-19,1065,Mesa,Casa,PR,1,3315.93,3315.93
2023-01-31,1122,Monitor,Eletrônicos,SP,4,2749.25,10997.0
2023-06-08,3343,Fone,Eletrônicos,RS,2,4999.56,9999.12
2023-02-19,3257,Cadeira,Casa,BA,4,1227.26,4909.04
2024-08-27,2679,Teclado,Eletrônicos,MG,3,4896.3,14688.900000000001
2024-05-14,3894,Notebook,Eletrônicos,SC,4,2369.32,9477.28
2024-07-17,1175,Cadeira,Casa,SP,2,4489.69,8979.38
2025-04-02,2767,Mesa,Casa,RS,4,3391.3,13565.2
2025-05-01,3163,Celular,Eletrônicos,MG,1,1463.69,1463.69
2025-09-09,4794,Fone,Eletrônicos,RJ,1,1595.45,1595.45
2023-11-21,4017,Mouse,Eletrônicos,MG,4,324.97,1299.88
2025-09-25,2285,Teclado,Eletrônicos,SP,5,4680.22,23401.100000000002
2024-06-20,3770,Notebook,Eletrônicos,SC,3,4138.01,12414.03
2024-04-18,3563,Celular,Eletrônicos,RJ,4,2233.41,8933.64
2024-12-25,2822,Monitor,Eletrônicos,BA,3,3265.23,9795.69
2023-02-26,2181,Teclado,Eletrônicos,RS,2,4864.44,9728.88
2024-08-16,2321,Cadeira,Casa,RJ,3,406.11,1218.33
2025-02-23,1853,Mesa,Casa,RJ,4,2180.91,8723.64
2025-03-02,4598,Celular,Eletrônicos,BA,4,2931.71,11726.84
2025-05-24,4261,Notebook,Eletrônicos,SC,3,2483.98,7451.9400000000005
2024-04-13,4972,Mouse,Eletrônicos,SP,1,2114.49,2114.49
2023-09-27,4370,Mouse,Eletrônicos,BA,5,357.56,1787.8
2023-01-06,1699,Mesa,Casa,RS,5,2016.69,10083.45
2025-03-06,2859,Mouse,Eletrônicos,BA,4,2014.62,8058.48
2025-03-22,2925,Mesa,Casa,SC,2,1255.27,2510.54
2024-10-30,4208,Monitor,Eletrônicos,RS,4,1833.43,7333.72
2025-07-31,2989,Notebook,Eletrônicos,BA,2,4231.11,8462.22
2023-04-08,3809,Mouse,Eletrônicos,RS,4,948.96,3795.84
2024-11-01,1907,Celular,Eletrônicos,RJ,2,4211.4,8422.8
2023-05-02,4996,Mesa,Casa,PR,3,425.93,1277.79
2023-06-20,2575,Notebook,Eletrônicos,SP,5,3360.4,16802.0
2023-07-26,3770,Fone,Eletrônicos,SP,3,4228.99,12686.97
2023-04-24,3617,Mouse,Eletrônicos,MG,2,1717.57,3435.14
2023-10-16,3422,Notebook,Eletrônicos,RS,3,3862.82,11588.460000000001
2023-10-14,3594,Teclado,Eletrônicos,SC,3,3752.08,11256.24
2024-03-25,1963,Celular,Eletrônicos,MG,3,4107.19,12321.57
2025-02-11,1366,Cadeira,Casa,SC,1,2050.86,2050.86
2023-02-24,4849,Mesa,Casa,MG,3,272.37,817.11
2023-06-05,2963,Cadeira,Casa,SP,5,2003.05,10015.25
2024-11-13,4502,Celular,Eletrônicos,SC,1,2500.65,2500.65
2023-07-26,3350,Celular,Eletrônicos,MG,4,678.76,2715.04
2023-07-04,4198,Monitor,Eletrônicos,SP,2,560.04,1120.08
2024-03-07,3028,Monitor,Eletrônicos,MG,2,2931.28,5862.56
2023-06-15,2928,Teclado,Eletrônicos,BA,4,2146.67,8586.68
2023-05-13,3047,Mouse,Eletrônicos,RS,1,2813.35,2813.35
2025-09-02,4985,Teclado,Eletrônicos,SP,2,3117.41,6234.82
2025-04-23,2958,Notebook,Eletrônicos,SC,2,2723.56,5447.12
2024-01-11,3640,Mesa,Casa,MG,3,4502.2,13506.599999999999
2025-08-11,2674,Notebook,Eletrônicos,BA,2,2787.45,5574.9
2025-12-14,1513,Celular,Eletrônicos,PR,2,3878.64,7757.28
2024-01-26,3389,Fone,Eletrônicos,SP,5,4181.56,20907.800000000003
2023-12-09,1265,Celular,Eletrônicos,RS,1,1188.24,1188.24
2023-07-18,3413,Mouse,Eletrônicos,PR,4,1423.04,5692.16
2024-09-04,4129,Fone,Eletrônicos,SP,5,2140.6,10703.0
2025-08-22,3756,Cadeira,Casa,PR,3,362.23,1086.69
2025-02-12,4650,Celular,Eletrônicos,MG,2,4153.36,8306.72
2024-08-05,1857,Mesa,Casa,SP,1,3017.81,3017.81
2023-09-08,3556,Teclado,Eletrônicos,MG,5,1550.67,7753.35
2025-04-18,4272,Mouse,Eletrônicos,SC,2,3530.58,7061.16
2023-06-07,2245,Mouse,Eletrônicos,SC,4,2251.7,9006.8
2024-05-19,1837,Mesa,Casa,SC,4,1892.77,7571.08
2023-11-24,4408,Monitor,Eletrônicos,PR,3,218.12,654.36
2023-12-21,1214,Mesa,Casa,RJ,4,2848.82,11395.28
2024-04-22,1529,Mesa,Casa,PR,5,3433.72,17168.6
2024-11-10,3265,Notebook,Eletrônicos,RS,2,3716.9,7433.8
2023-09-29,2521,Fone,Eletrônicos,SC,5,418.0,2090.0
2023-01-07,1138,Fone,Eletrônicos,MG,1,2395.48,2395.48
2024-09-21,2493,Celular,Eletrônicos,BA,1,560.14,560.14
2023-12-27,3475,Fone,Eletrônicos,RS,5,1363.11,6815.549999999999
2025-01-25,2872,Fone,Eletrônicos,SC,1,1016.13,1016.13
2025-02-11,2193,Celular,Eletrônicos,RS,5,3245.3,16226.5
2024-04-01,2057,Celular,Eletrônicos,RJ,5,352.75,1763.75
2025-02-03,4702,Fone,Eletrônicos,SC,3,2460.75,7382.25
2025-11-01,3458,Cadeira,Casa,RJ,1,3673.91,3673.91
2023-07-22,4971,Fone,Eletrônicos,SP,3,3731.76,11195.28
2023-11-29,4057,Notebook,Eletrônicos,RJ,4,3752.32,15009.28
2023-12-14,4953,Mouse,Eletrônicos,SP,3,678.95,2036.8500000000001
2023-08-20,3433,Fone,Eletrônicos,PR,4,709.54,2838.16
2023-01-13,4819,Celular,Eletrônicos,SP,3,3981.46,11944.380000000001
2023-02-08,1235,Fone,Eletrônicos,PR,4,4860.25,19441.0
2025-01-09,3720,Notebook,Eletrônicos,MG,5,1509.25,7546.25
2025-06-11,1322,Mesa,Casa,SC,5,985.04,4925.2
2025-04-13,3665,Mesa,Casa,SP,4,1279.5,5118.0
